subset_sz,subset_n,time,d,subset
1,400,0.270672082901001,0.5,"{""x1"":[-0.193419],""x2"":[0.475471],""y"":[3]}"
2,80200,26.472167015075684,0.3,"{""x1"":[2.651806,0.35045],""x2"":[4.460111,-0.07989],""y"":[1,3]}"
3,10746800,3505.6254830360413,0.1625,"{""x1"":[2.651806,-3.519343,0.35045],""x2"":[4.460111,4.018779,-0.07989],""y"":[1,2,3]}"
