subset_sz,subset_n,time,d,acc,subset
1,100,1.340090036392212,0.6677908301353455,0.5,"{""x1"":[2.954527015512206],""x2"":[2.6624668788123005],""y"":[2]}"
2,5050,10.477191925048828,0.40199196338653564,0.83,"{""x1"":[0.6862075044256363,3.8672319197119474],""x2"":[0.6845888429700668,3.8065169661501614],""y"":[1,2]}"
3,171700,349.58760118484497,0.3610023558139801,0.86,"{""x1"":[0.4127920979934054,0.8498862150569124,3.8672319197119474],""x2"":[0.6977066001171127,0.706242749052934,3.8065169661501614],""y"":[1,1,2]}"
4,4421275,8484.691517829895,0.3244532644748688,0.88,"{""x1"":[0.3353844253104309,1.3310277946582467,3.6716878910482973,3.08100212275611],""x2"":[1.0416458046506347,0.9984302450182628,3.9925314214882306,3.0937697330211473],""y"":[1,1,2,2]}"
