subset_sz,subset_n,time,d,subset
1,400,0.16840100288391113,0.5,"{""x1"":[-0.193419],""x2"":[0.475471],""y"":[3]}"
2,80200,34.91015005111694,0.25,"{""x1"":[2.651806,-0.875817],""x2"":[4.460111,1.098264],""y"":[1,3]}"
3,10746800,4640.099489212036,0.0125,"{""x1"":[3.352543,-3.119557,0.301605],""x2"":[3.427952,4.623458,0.354936],""y"":[1,2,3]}"
