n_pts,loss,time
2,0.0186132882112102,0.147043943405151
3,2.014267061073174e-4,1.34774804115295
4,1.6456222212920175e-7,10.8390469551086
5,1.7700416019225083e-6,74.712898015976
6,6.542909812285279e-8,417.035153865814
