subset_sz,subset_n,time,d,subset
1,100,0.5416929721832275,0.5,"{""x1"":[2.053966230622603],""x2"":[2.751521930793872],""y"":[1]}"
2,5050,0.569828987121582,0.09,"{""x1"":[1.2560296135126279,2.7662999011454845],""x2"":[1.3774093539695982,3.0475043767713745],""y"":[1,2]}"
3,171700,19.944862127304077,0.07,"{""x1"":[2.053966230622603,2.502663618493834,1.7740522507599383],""x2"":[2.751521930793872,2.965791200647362,3.146111851506774],""y"":[1,2,2]}"
4,4421275,496.9925560951233,0.05,"{""x1"":[2.053966230622603,0.8643566624997824,2.502663618493834,1.7740522507599383],""x2"":[2.751521930793872,6.616431653806727,2.965791200647362,3.146111851506774],""y"":[1,1,2,2]}"
5,91962520,10198.659978151321,0.04,"{""x1"":[2.053966230622603,0.9042294812443676,0.8643566624997824,1.7740522507599383,2.9035239278142573],""x2"":[2.751521930793872,0.05111229284707173,6.616431653806727,3.146111851506774,3.024839588993718],""y"":[1,1,1,2,2]}"
